hours_studied,attendance_percent,assignments_completed,final_score
3.7,82.1,8,67.9
9.5,54.2,0,76.9
7.3,58.1,0,60.6
6.0,94.9,3,79.7
1.6,80.3,8,61.3
1.6,50.5,5,39.0
0.6,55.1,10,39.9
8.7,83.2,2,79.4
6.0,50.3,0,57.6
7.1,58.0,3,69.1
0.2,77.4,8,45.8
9.7,84.6,2,84.6
8.3,82.6,8,81.9
2.1,61.2,6,54.2
1.8,85.6,3,53.7
1.8,61.9,2,37.1
3.0,66.3,9,60.5
5.2,87.3,4,58.1
4.3,82.5,4,60.1
2.9,92.5,2,62.2
6.1,82.9,8,84.6
1.4,78.4,3,46.0
2.9,54.7,10,56.3
3.7,68.4,4,57.8
4.6,63.3,3,52.9
7.9,62.2,4,64.1
2.0,98.7,6,61.4
5.1,69.7,8,71.4
5.9,94.6,6,85.0
0.5,81.6,4,35.9
6.1,89.7,9,83.8
1.7,75.1,9,56.2
0.7,78.8,6,41.5
9.5,74.6,9,97.8
9.7,59.8,4,84.2
8.1,86.1,2,77.5
3.0,64.0,6,62.9
1.0,51.2,10,43.9
6.8,82.3,10,84.7
4.4,58.9,1,45.2
1.2,97.0,8,56.7
5.0,97.7,9,79.3
0.3,95.7,9,50.6
9.1,68.5,0,71.9
2.6,50.8,5,43.6
6.6,96.4,6,72.1
3.1,71.4,7,57.6
5.2,98.3,9,83.5
5.5,98.2,8,85.4
1.8,92.7,1,54.1
9.7,64.7,10,98.6
7.8,69.3,9,81.6
9.4,92.6,1,82.4
8.9,65.8,4,81.7
6.0,58.5,4,58.7
9.2,77.8,5,81.0
0.9,96.8,2,59.1
2.0,84.8,7,56.4
0.5,78.5,0,30.8
3.3,54.9,5,37.5
3.9,80.8,3,62.1
2.7,99.5,0,48.4
8.3,57.0,6,76.4
3.6,75.9,8,69.2
2.8,93.9,3,52.7
5.4,87.0,3,68.2
1.4,84.9,5,58.6
8.0,85.1,2,65.8
0.7,68.0,5,36.6
9.9,64.7,6,82.9
7.7,90.5,10,93.8
2.0,90.5,9,64.0
0.1,93.4,9,50.6
8.2,95.7,2,80.0
7.1,75.6,6,73.9
7.3,75.1,2,68.8
7.7,89.9,1,77.6
0.7,82.5,9,59.1
3.6,85.1,3,63.3
1.2,89.8,7,59.2
8.6,94.5,8,92.4
6.2,66.9,6,69.7
3.3,68.8,0,55.9
0.6,54.7,2,34.0
3.1,78.9,8,60.9
3.3,51.8,0,45.1
7.3,73.3,8,79.9
6.4,77.1,7,73.5
8.9,64.3,0,77.2
4.7,79.5,5,58.8
1.2,51.5,4,25.0
7.1,51.9,5,71.0
7.6,91.1,9,92.6
5.6,68.0,4,63.8
7.7,56.4,5,69.3
4.9,76.1,4,61.7
5.2,88.5,10,79.1
4.3,60.8,4,50.7
0.3,81.1,3,38.0
1.1,54.3,2,29.2
0.3,52.6,2,22.4
6.4,76.6,3,65.9
3.1,77.0,8,49.8
5.1,81.9,1,63.7
9.1,86.3,8,98.0
2.5,98.8,0,51.6
4.1,75.8,0,52.0
7.6,66.1,4,73.8
2.3,89.8,5,53.8
0.8,63.5,5,36.7
2.9,71.9,2,49.9
1.6,53.9,6,42.6
9.3,51.3,8,93.2
8.1,98.1,10,100.0
6.3,91.8,9,90.9
8.7,84.8,7,87.6
8.0,70.4,5,75.3
1.9,58.7,7,42.0
8.9,57.8,4,77.0
5.4,62.5,7,52.3
8.1,77.5,9,87.2
9.0,85.7,3,83.7
3.2,83.0,9,59.6
1.1,64.0,7,49.1
2.3,97.7,9,62.9
4.3,86.9,1,59.6
8.2,77.7,4,94.0
8.6,80.6,8,83.2
0.1,71.0,3,34.2
5.1,62.4,10,68.4
4.2,67.8,5,55.1
2.2,87.9,0,50.0
1.2,50.7,8,47.8
3.4,55.8,0,43.2
9.4,52.3,4,72.3
3.2,52.0,3,55.0
5.2,92.8,2,58.3
7.0,85.2,5,73.9
3.6,73.7,1,50.3
9.7,54.9,2,74.9
9.6,74.6,4,88.3
2.5,73.7,8,65.9
5.0,58.7,1,49.9
3.0,71.7,9,62.2
2.8,69.9,7,53.0
0.4,80.8,1,39.3
6.1,81.8,10,81.6
5.0,52.3,4,52.3
0.5,68.7,6,44.7
2.8,81.3,7,65.7
9.1,75.2,0,64.5
2.4,92.8,5,60.9
1.4,82.9,0,38.8
4.9,58.1,1,54.5
9.9,53.5,0,69.6
2.4,82.1,10,71.3
6.7,51.3,4,58.6
7.6,79.3,9,76.6
2.4,97.0,8,72.1
7.3,78.8,5,73.8
3.7,69.4,10,58.4
6.3,82.2,10,84.5
6.3,72.9,0,59.5
5.4,77.3,0,62.0
0.9,97.1,1,49.8
8.4,69.3,8,86.2
3.2,98.1,2,54.8
1.9,95.3,0,49.1
0.4,59.8,4,34.7
5.9,53.5,6,65.7
6.8,55.0,5,61.6
0.2,50.9,0,19.4
5.1,54.7,4,57.9
2.3,84.2,4,59.4
6.5,53.6,5,68.8
1.7,65.9,2,39.3
6.9,92.2,4,76.9
3.9,51.2,6,54.0
9.4,90.7,4,85.8
1.4,64.1,4,36.6
3.4,55.9,4,54.9
1.1,84.8,9,59.4
9.2,81.4,9,94.8
8.8,93.9,2,89.7
2.6,86.8,0,54.2
6.6,90.2,4,74.9
8.2,64.1,8,80.5
5.6,58.9,0,48.8
5.3,87.5,2,70.3
2.4,90.3,3,59.0
0.9,99.5,0,51.2
9.0,70.6,0,78.3
9.0,68.6,7,78.3
6.3,88.8,1,70.4
3.4,67.0,7,52.5
3.5,96.5,6,65.5
7.3,92.9,9,92.5
9.0,71.4,9,95.7
8.9,87.5,1,77.0
7.8,87.7,5,72.5
